solution,scenario,product,to,V
POS19,s1,pet,Brt,5330
POS19,s1,pet,Srl,2726
POS19,s1,pet,Amj,2429
POS19,s1,pet,Ctw,3795
POS19,s1,pet,Ktm,760
POS19,s1,pet,Pkr,10760
POS19,s1,pet,Bhw,31810
POS19,s1,pet,Npj,760
POS19,s1,pet,Dhn,760
POS20,s1,die,Chr,38560
POS20,s1,die,Srl,20343
POS20,s1,die,Amj,15041
POS20,s1,die,Ctw,98136
POS20,s1,die,Bhw,8190
POS20,s1,pet,Chr,1440
POS20,s1,pet,Brt,5330
POS20,s1,pet,Srl,2657
POS20,s1,pet,Amj,2429
POS20,s1,pet,Ctw,3864
POS20,s1,pet,Ktm,760
POS20,s1,pet,Pkr,10760
POS20,s1,pet,Bhw,31810
POS20,s1,pet,Npj,760
POS20,s1,pet,Dhn,760
POS1,s2,die,Chr,38746
POS1,s2,die,Srl,22010
POS1,s2,die,Amj,15506
POS1,s2,die,Ctw,98370
POS1,s2,die,Bhw,7896
POS1,s2,pet,Chr,1254
POS1,s2,pet,Brt,5330
POS1,s2,pet,Srl,990
POS1,s2,pet,Amj,1964
POS1,s2,pet,Ctw,3630
POS1,s2,pet,Ktm,760
POS1,s2,pet,Pkr,10760
POS1,s2,pet,Bhw,32104
POS1,s2,pet,Npj,760
POS1,s2,pet,Dhn,760
POS2,s2,die,Chr,38746
POS2,s2,die,Srl,22010
POS2,s2,die,Amj,15506
POS2,s2,die,Ctw,98370
POS2,s2,die,Bhw,7896
POS2,s2,pet,Chr,1254
POS2,s2,pet,Brt,5330
POS2,s2,pet,Srl,990
POS2,s2,pet,Amj,1964
POS2,s2,pet,Ctw,3630
POS2,s2,pet,Ktm,760
POS2,s2,pet,Pkr,10760
POS2,s2,pet,Bhw,32104
POS2,s2,pet,Npj,760
POS2,s2,pet,Dhn,760
POS3,s2,die,Chr,38746
POS3,s2,die,Srl,22010
POS3,s2,die,Amj,15506
POS3,s2,die,Ctw,98370
POS3,s2,die,Bhw,7896
POS3,s2,pet,Chr,1254
POS3,s2,pet,Brt,5330
POS3,s2,pet,Srl,990
POS3,s2,pet,Amj,1964
POS3,s2,pet,Ctw,3630
POS3,s2,pet,Ktm,760
POS3,s2,pet,Pkr,10760
POS3,s2,pet,Bhw,32104
POS3,s2,pet,Npj,760
POS3,s2,pet,Dhn,760
POS4,s2,die,Chr,38746
POS4,s2,die,Srl,22010
POS4,s2,die,Amj,15506
POS4,s2,die,Ctw,98370
POS4,s2,die,Bhw,7896
POS4,s2,pet,Chr,1254
POS4,s2,pet,Brt,5330
POS4,s2,pet,Srl,990
POS4,s2,pet,Amj,1964
POS4,s2,pet,Ctw,3630
POS4,s2,pet,Ktm,760
POS4,s2,pet,Pkr,10760
POS4,s2,pet,Bhw,32104
POS4,s2,pet,Npj,760
POS4,s2,pet,Dhn,760
POS5,s2,die,Chr,38746
POS5,s2,die,Srl,22010
POS5,s2,die,Amj,15176
POS5,s2,die,Ctw,98370
POS5,s2,die,Bhw,7896
POS5,s2,pet,Chr,1254
POS5,s2,pet,Brt,5330
POS5,s2,pet,Srl,990
POS5,s2,pet,Amj,2294
POS5,s2,pet,Ctw,3630
POS5,s2,pet,Ktm,760
POS5,s2,pet,Pkr,10760
POS5,s2,pet,Bhw,32104
POS5,s2,pet,Npj,760
POS5,s2,pet,Dhn,760
POS6,s2,die,Chr,38746
POS6,s2,die,Srl,22010
POS6,s2,die,Amj,15176
POS6,s2,die,Ctw,98370
POS6,s2,die,Bhw,7896
POS6,s2,pet,Chr,1254
POS6,s2,pet,Brt,5330
POS6,s2,pet,Srl,990
POS6,s2,pet,Amj,2294
POS6,s2,pet,Ctw,3630
POS6,s2,pet,Ktm,760
POS6,s2,pet,Pkr,10760
POS6,s2,pet,Bhw,32104
POS6,s2,pet,Npj,760
POS6,s2,pet,Dhn,760
POS7,s2,die,Chr,38746
POS7,s2,die,Srl,22010
POS7,s2,die,Amj,15176
POS7,s2,die,Ctw,98370
POS7,s2,die,Bhw,7896
POS7,s2,pet,Chr,1254
POS7,s2,pet,Brt,5330
POS7,s2,pet,Srl,990
POS7,s2,pet,Amj,2294
POS7,s2,pet,Ctw,3630
POS7,s2,pet,Ktm,760
POS7,s2,pet,Pkr,10760
POS7,s2,pet,Bhw,32104
POS7,s2,pet,Npj,760
POS7,s2,pet,Dhn,760
POS8,s2,die,Chr,38746
POS8,s2,die,Srl,22010
POS8,s2,die,Amj,15176
POS8,s2,die,Ctw,98370
POS8,s2,die,Bhw,7896
POS8,s2,pet,Chr,1254
POS8,s2,pet,Brt,5330
POS8,s2,pet,Srl,990
POS8,s2,pet,Amj,2294
POS8,s2,pet,Ctw,3630
POS8,s2,pet,Ktm,760
POS8,s2,pet,Pkr,10760
POS8,s2,pet,Bhw,32104
POS8,s2,pet,Npj,760
POS8,s2,pet,Dhn,760
POS9,s2,die,Chr,38746
POS9,s2,die,Srl,22010
POS9,s2,die,Amj,15176
POS9,s2,die,Ctw,98370
POS9,s2,die,Bhw,7896
POS9,s2,pet,Chr,1254
POS9,s2,pet,Brt,5330
POS9,s2,pet,Srl,990
POS9,s2,pet,Amj,2294
POS9,s2,pet,Ctw,3630
POS9,s2,pet,Ktm,760
POS9,s2,pet,Pkr,10760
